1,Richmound,Beazley,45,6,7
2,Gunther,Fackney,73,6,7
3,Stewart,Frowing,19,3,3
4,Sallee,Cuffley,70,2,4
5,Axel,Stollwerk,73,7,2
6,Othilie,Grigoliis,28,8,1
7,Igor,Claffey,28,8,3
8,Bruce,Schruur,73,5,2
9,Clovis,Wynes,59,8,4
10,Silvie,Thiolier,5,4,5
11,Maxie,Treher,57,6,6
12,Margette,Wraighte,44,8,2
13,Chryste,Byrnes,41,10,3
14,Ulysses,Sturmey,68,9,7
15,Woodman,Powrie,81,4,4
16,Zitella,Reddel,14,6,4
17,Bronny,McMearty,42,2,5
18,Jewel,Cheyney,14,2,4
19,Adelaida,Gunney,44,6,2
20,Adrienne,O'Looney,21,5,6
21,Branden,Wilcott,27,7,5
22,Etta,Nuth,41,8,2
23,Karney,Lightbowne,80,3,6
24,Pierson,Crippell,6,1,4
25,Lutero,Filchagin,26,3,7
26,Roth,Ferrierio,66,5,1
27,Gothart,Thickens,16,1,4
28,Dwain,Josuweit,4,5,2
29,Nanice,Eady,47,2,6
30,Zahara,Ousley,79,10,4
31,Nichols,Earle,7,8,6
0,Jodee,Sharple,42,2,3
1,Cordy,Tuckwood,29,6,1
2,Jillian,Neligan,22,9,3
3,Shirlene,Wrought,23,4,4
4,Shoshana,Wais,14,7,2
5,Julissa,Edinburough,26,8,3
6,Gerome,Hallbord,2,7,5
7,Vere,Riste,7,1,3
8,Dexter,Gecke,3,3,5
9,Jacintha,Cessford,96,3,1
10,Kerry,Cramphorn,1,2,6
11,L;urette,McCluskey,37,6,2
12,Birch,Jagoe,37,6,2
13,Lenore,Norvel,55,1,4
14,Eilis,Klink,88,3,4
15,Neil,Darrel,37,1,5
16,Imelda,Donner,26,7,4
17,Alexandro,Kilbee,10,7,6
18,Gram,Tregunna,28,10,7
19,Jdavie,Bampford,26,4,4
20,Robyn,Spinola,43,9,5
21,Yance,Cochern,16,7,6
22,Rogers,Blyden,15,5,3
23,Jerrilee,Tremlett,1,2,3
24,Nickie,Winsome,14,4,7
25,Andrew,Duetsche,63,4,2
26,Dewey,Mitten,6,2,1
27,Aldon,Dunkirk,43,4,3
28,Curtice,Egginson,54,3,1
29,Carly,Loisi,98,7,4
30,Chrissie,Keppe,1,5,6
31,Jenny,Harbidge,81,2,5
0,Agathe,Antonikov,49,4,3
1,Starla,Steet,91,1,7
2,Charlene,Baggarley,37,8,4
3,Vivianne,Bickmore,59,9,1
4,Happy,Gaze,98,3,4
5,Arley,Judkins,23,9,2
6,Arron,Waitland,63,2,5
7,Barrett,Aspital,8,3,6
8,Keslie,Klimsch,24,10,6
9,Madelin,Josskovitz,63,8,3
10,Willdon,Seller,15,3,5
11,Wilhelmina,Hemmingway,68,10,2
12,Meghann,Wippermann,31,8,6
13,Jodi,Jones,84,5,1
14,Rafe,Chitter,20,2,4
15,Brenden,Bickerdicke,28,3,3
16,Balduin,Walkowski,87,8,3
17,Aubry,Pierpoint,40,1,1
18,Waring,Helling,82,2,6
19,Penelope,Simchenko,55,3,5
20,Luci,Vischi,12,9,6
21,Lana,Lipson,52,9,6
22,Sonnie,Gowler,40,9,1
23,Maurizio,Venediktov,66,5,7
24,Riane,Egan,15,3,2
25,Lynne,Overland,70,1,2
26,Hali,Oldfield,11,2,4
27,Guntar,O'Luby,39,2,2
28,Bond,Fone,90,5,6
29,Hildagarde,Titterell,59,9,7
30,My,Tenny,4,2,3
31,Shoshana,MacKintosh,87,8,5
0,Florencia,Delgardillo,75,6,1
1,Marne,Karslake,12,6,5
2,Ole,Iacobo,3,6,1
3,Arlyn,Kleinerman,49,7,1
4,Aggi,Jurges,55,4,5
5,Cherise,Barnewille,99,9,3
6,Ivett,Conre,89,8,5
7,Kattie,Rosenbloom,13,10,7
8,Yvor,Megahey,42,7,2
9,Madonna,Lottrington,19,1,2
10,Moe,Bonsey,37,4,1
11,Brandea,Hantusch,33,10,3
12,Maggee,Bretherick,39,8,2
13,Brooks,MacCracken,8,9,1
14,Saunder,Causton,15,3,6
15,Blinny,Connolly,69,9,5
16,Edouard,Scrivinor,22,3,1
17,Kerby,Hearnaman,21,2,6
18,Addie,Hasard,11,3,7
19,Vita,Strangward,22,7,4
